name,vote_count
mom,536
turner & hooch,232
trapped,216
family guy,4105
limitless,776
disney's adventures of the gummi bears,201
the terror,785
last man standing,300
acapulco,318
the secret circle,312
star trek: picard,1600
berserk,210
torchwood,463
dark desire,4199
perry mason,294
paradise pd,320
fool me once,217
six,479
mythic quest,290
marco polo,455
gilmore girls: a year in the life,322
macgyver,876
marã­a la del barrio,540
rosario tijeras,968
equinox,244
the exorcist,656
pam & tommy,217
war of the worlds,829
la jaurã­a,597
entourage,495
lethal weapon,685
big sky,246
black-ish,280
nicky jam: el ganador,526
the diary of anne frank,353
panic,243
charmed,414
shades of blue,246
nikita,401
la tormenta,310
"magnum, p.i.",345
treadstone,229
bored to death,215
gantz,238
marã­a isabel,271
the carrie diaries,208
dollhouse,410
salem,291
utopia,418
call me bruna,393
victoria,240
the great heist,595
the flight attendant,491
the librarians,433
los tres caines,225
haunted: latin america,261
the watcher,529
friday the 13th: the series,217
the war next-door,264
a teacher,321
freud,254
pokã©mon origins,325
afro samurai,242
the six million dollar man,377
dead to me,464
hunters,523
la prepago,214
family ties,214
is it wrong to try to pick up girls in a dungeon?,203
garfield and friends,337
johnny bravo,549
jag,319
resurrection,275
we baby bears,263
the protector,410
marvel's cloak & dagger,567
lizzie mcguire,306
kung fu panda: the paws of destiny,867
messiah,322
the old man,262
glow,343
cursed,873
clickbait,306
30 coins,549
"two women, one road",284
darkwing duck,269
top secret ufo projects declassified,226
dead set,267
xxxholic,782
timeless,666
timon & pumbaa,581
the stranger,401
sofia the first,509
3%,428
castle rock,525
the 4400,609
he-man and the masters of the universe,322
sanctuary,233
man vs bee,498
"hugo chã¡vez, el comandante",492
the croods: family tree,708
into the night,474
lovecraft country,623
the incredible hulk,429
z nation,791
the jetsons,413
nip/tuck,430
star wars: visions,319
broken promises,314
prank encounters,203
masterchef,245
under the dome,3469
love,256
the search,342
el presidente,419
invasion,900
just beyond,209
japan sinks: 2020,306
masters of horror,264
truth seekers,217
2 broke girls,1436
the mick,216
fresh off the boat,235
unforgettable,289
maria mercedes,210
tell me a story,252
perception,218
monsters at work,1344
bloodline,314
hannah montana,619
future man,448
archive 81,485
empire,708
shooter,619
s.o.z: soldiers or zombies,652
"diomedes, el cacique de la junta",748
i am groot,227
the odyssey,679
alias grace,248
unbreakable kimmy schmidt,488
kamp koral: spongebob's under years,496
the boys presents: diabolical,277
olaf presents,281
scenes from a marriage,264
designated survivor,867
andromeda,234
marvel's agents of s.h.i.e.l.d.: slingshot,206
channel zero,254
the patient,203
top of the lake,313
the healing powers of dude,342
bodies,256
invisible city,342
pawn stars,252
scandal,504
zorro,250
obi-wan kenobi,1574
krypton,435
someone has to die,215
age of samurai: battle for japan,273
turn: washington's spies,207
la mujer en el espejo,360
star trek: discovery,1630
dracula,362
spider-man: the new animated series,340
l.a.'s finest,223
battlestar galactica,219
jeffrey epstein: filthy rich,333
the missing,239
hitler: the rise of evil,307
caminantes,244
the graham norton show,235
frequency,225
daybreak,393
hemlock grove,468
walker,341
black lightning,828
sesame street,224
mildred pierce,207
popeye the sailor,351
coroner,218
that's so raven,211
kyle xy,313
outcast,430
baby looney tunes,267
the mask: animated series,427
how to survive being single,316
spin city,270
nine perfect strangers,407
marvel's the defenders,1313
cow and chicken,439
i am georgina,298
van helsing,817
american gods,1513
no ordinary family,331
sex/life,1258
madagascar: a little wild,250
falling skies,1095
catdog,371
beavis and butt-head,363
the plague,205
the three sides of ana,304
the king of queens,564
welcome to eden,261
tribes of europa,349
philip k. dick's electric dreams,271
masters of sex,337
numb3rs,357
the girlfriend experience,380
jupiter's legacy,656
heirs by accident,275
the boss baby: back in business,1698
"ringo, la pelea de su vida",217
brand new cherry flavor,221
station eleven,266
el secreto de selena,425
flashforward,439
bull,345
katla,309
bonding,264
homecoming,266
mr. mercedes,270
pocoyo,444
power rangers,698
black summer,496
crime scene: the vanishing at the cecil hotel,316
conan,212
diff'rent strokes,258
batwoman,1468
stolen away,254
knightfall,301
the shannara chronicles,889
you me her,395
halo 4: forward unto dawn,707
dracula,638
wonder woman,436
hercules: the legendary journeys,479
the cosby show,377
the inmate,452
the passage,322
the tick,251
clarice,222
paw patrol,695
the yogi bear show,201
kissing game,264
mars,308
marimar,738
storm of the century,265
the tomorrow people,312
fast & furious spy racers,2177
the mess you leave behind,257
madam secretary,272
lois & clark: the new adventures of superman,407
the bionic woman,237
citadel,350
marcella,212
tales from the loop,357
childhood's end,330
the little mermaid,675
halo: the fall of reach,421
"walker, texas ranger",468
taz-mania,207
harper's island,225
the unremarkable juanquini,221
las vegas,204
the angry beavers,208
american dad!,1972
marvel's luke cage,1663
stitchers,207
young rock,224
y: the last man,234
haunted,295
kaleidoscope,341
tiger king,409
houdini,265
the stand,597
the letter for the king,220
condor,204
mortal kombat: conquest,304
lore,382
the purge,3256
the smurfs,460
caprica,341
outer range,206
safe,238
la rosa de guadalupe,200
the usurper,314
roseanne,311
saturday night live,393
into the unknown: making frozen ii,200
elves,213
it,2874
the last man on earth,793
pandemic: how to prevent an outbreak,622
scream: the tv series,1069
aladdin,318
perfume,318
summertime,421
covert affairs,207
frank herbert's dune,289
secret invasion,932
will & grace,440
inside man,233
masha and the bear,398
frontier,266
salem's lot,416
hell's kitchen,250
willow,343
alphas,282
ancient aliens,244
inventing anna,295
the colbert report,251
inspector gadget,356
the wild thornberrys,241
penny dreadful: city of angels,310
fortitude,248
solos,207
killjoys,457
heroes reborn,484
the following,460
the midnight club,229
miracle workers,237
the stand,413
wayward pines,741
colony,550
don't trust the b---- in apartment 23,261
arrow,5734
v,668
mr. bean: the animated series,378
the last ship,884
everybody loves raymond,523
how i met your father,201
defiance,460
the mosquito coast,228
the witcher: blood origin,622
terra nova,724
alien worlds,218
rose red,367
4400,210
merlin,239
ballers,725
mickey mouse clubhouse,302
hercules,283
fubar,315
glee,753
away,297
the twilight zone,332
glitch,296
october faction,256
too hot to handle,393
alias,581
family matters,268
mike & molly,220
slasher,281
living with yourself,266
the war of the worlds,256
helix,396
the woman in the house across the street from the girl in the window,372
dark matter,732
zoo,516
feria: the darkest light,213
teen titans go!,593
reality z,247
ascension,277
mad about you,203
bear grylls: escape from hell,423
the affair,345
the river,253
wwe raw,299
peppa pig,692
cowboy bebop,356
dominion,256
space force,612
according to jim,307
touch,266
"sex, explained",1860
avenue 5,317
marvel's iron fist,2292
quantico,621
salvation,372
jackass,232
taken,227
ally mcbeal,281
ms. marvel,1054
the late show with stephen colbert,247
nashville,216
adult material,244
masters of the universe: revelation,335
mums make porn,853
dennis the menace,226
cougar town,214
revolution,496
the langoliers,515
dharma & greg,222
the shining,290
extant,297
alcatraz,252
joey,297
from dusk till dawn: the series,291
she-hulk: attorney at law,1962
the daily show,496
echo,303
the andromeda strain,201
girls,340
ugly betty,207
the mist,687
anger management,208
dora the explorer,286
24: legacy,218
another life,351
marvel's inhumans,639
baywatch,434
the tonight show starring jimmy fallon,297
the cleveland show,381
resident evil,476
general hospital,200
america's got talent,239
the i-land,233
the d'amelio show,678
big brother,212
velma,250
