name,vote_count
cumbia ninja,273
beelzebub,232
"higehiro: after being rejected, i shaved and took in a high school runaway",220
the god of high school,638
noragami,572
grimm,3018
craig of the creek,222
seinfeld,1806
the midnight gospel,790
bloodhounds,269
skam,687
heartland,540
samurai champloo,604
white collar,1282
the blue planet,307
boy meets world,469
sex education,6994
life,325
"don't toy with me, miss nagatoro",707
dragons: race to the edge,327
sonic prime,351
castlevania,1175
my first first love,527
justice league unlimited,730
pose,474
teenage mutant ninja turtles,590
gossip girl,1969
spider-man,964
the last kingdom,1609
wu-tang: an american saga,223
succession,1006
rome,1167
"love, death & robots",3019
yu-gi-oh! duel monsters,873
toradora!,540
bones,3003
the west wing,443
the legend of korra,1965
juliantina,276
she was pretty,849
pinocchio,604
saint seiya: the lost canvas,578
dragon ball,2946
my name,772
star wars: the bad batch,879
money heist,18194
mare of easttown,1209
grey's anatomy,9842
wandavision,11632
"watamote ~no matter how i look at it, it's you guys fault i'm not popular!~",299
free!,212
dejã©monos de vargas,213
henry danger,1045
the bear,788
kingdom,946
scorpion,3822
this is us,1365
the dragon prince,552
mr. robot,4351
formula 1: drive to survive,422
shaman king,267
line of duty,369
stargate sg-1,1465
hannibal,2279
wayne,417
domestic girlfriend,395
boys over flowers,1609
secrets of sulphur springs,232
doctors,295
monty python's flying circus,576
queer as folk,473
smallville,3884
the last dance,1196
kill la kill,425
the crown,1942
our last crusade or the rise of a new world,213
when they see us,743
station 19,1395
"love, chunibyo & other delusions!",356
club 57,621
chilling adventures of sabrina,3416
ugly americans,608
fawlty towers,640
brooklyn nine-nine,3106
ozark,2117
control z,2273
victorious,1574
the legend of vox machina,374
scooby-doo! mystery incorporated,952
battlestar galactica,1427
beyond the boundary,284
suits,4776
matarife,324
the heart is never wrong,371
cobra kai,5882
star wars: andor,1013
ben 10: ultimate alien,786
all american,427
09-01-2001,2298
pride and prejudice,424
hell girl,216
â¡mucha lucha!,370
fullmetal alchemist,804
sword art online,1707
love is in the air,2977
a korean odyssey,247
outlander,2486
teasing master takagi-san,343
dragon ball super,4795
hometown cha-cha-cha,461
inside job,729
thundercats,925
charmed,2166
mieruko-chan,250
flower of evil,498
pacific rim: the black,389
battlestar galactica,763
codename: kids next door,680
mayday,236
to your eternity,224
kakegurui,1442
la que se avecina,227
the handmaid's tale,2562
dexter,3904
the summer i turned pretty,592
silo,749
another miss oh,210
high school of the dead,753
blood+,242
ben 10: omniverse,432
drawn together,1173
ghost in the shell: stand alone complex,348
captain tsubasa,615
wizards: tales of arcadia,352
x-men,1072
dinosaur king,382
are you afraid of the dark?,543
yellowstone,2037
la saga: negocio de familia,223
one piece,975
loki,11176
goblin slayer,454
what if...?,4000
serial experiments lain,472
ouran high school host club,201
no game no life,605
steven universe future,683
pucca,551
alice in borderland,1811
extracurricular,624
oh my venus,300
star trek: strange new worlds,481
marvel's daredevil,4234
the boondocks,321
courage the cowardly dog,1418
how i met your mother,4645
chowder,368
prodigal son,398
kenan & kel,355
wise man's grandchild,285
the walking dead: dead city,401
1923,281
gleipnir,649
angel's last mission: love,208
project blue book,960
prison school,610
doctor stranger,272
see,2300
ben 10,1565
buffy the vampire slayer,1589
mr. pickles,733
claymore,258
the boarding school,546
zoey 101,999
house of anubis,239
shameless,2482
katy keene,268
the avengers: earth's mightiest heroes,649
trigun,412
hasta que la plata nos separe,215
vecinos,1060
el marginal,377
powerpuff girls z,216
winx club,438
beast wars: transformers,279
american horror story,5370
your honor,1450
agatha christie's poirot,425
from,876
atypical,1006
hyouka,306
never have i ever,1626
gurren lagann,438
skins,1162
kick buttowski: suburban daredevil,593
magnificent century,771
freaks and geeks,677
baki hanma,462
jackie chan adventures,764
nathan for you,200
golden boy,385
cells at work!,252
ginny & georgia,1482
the great,953
baki,1240
andi mack,245
the it crowd,1250
scott pilgrim takes off,205
chespirito,341
fringe,2291
ted,293
sailor moon crystal,613
the walking dead,15898
silicon valley,1467
the newsroom,551
bridgerton,2149
monogatari,431
dynasty,839
my little pony: friendship is magic,604
stairway to heaven,1030
twisted metal,279
the haunting of hill house,2105
marvel's the punisher,2369
my babysitter's a vampire,337
father ted,280
deadwood,738
the nanny,1066
black bird,525
fate: the winx saga,1359
puella magi madoka magica,292
la fea mã¡s bella,558
inazuma eleven,230
our love has always been 10 centimeters apart.,240
s.w.a.t.,1285
batman beyond,498
normal people,991
the nevers,622
mad men,1107
tsuredure children,200
reacher,1482
the shield,664
"hi bye, mama!",412
the witcher,5501
six feet under,865
inuyashiki: last hero,254
adventure time: distant lands,458
vikings,6623
strong woman do bong soon,219
ghost whisperer,1636
avatar: the last airbender,533
"xo, kitty",299
atrã©vete a soã±ar,858
wizards of waverly place,714
prison break,4732
avatar: the last airbender,533
downton abbey,928
violetta,285
love & death,267
brazil avenue,1192
the bridge,539
i am not okay with this,1725
digimon: digital monsters,791
peter grill and the philosopher's time,208
run coyote run,289
liv and maddie,371
coffee prince,219
reservation dogs,228
the end of the f***ing world,2924
babylon 5,476
person of interest,1597
the testament of sister new devil,293
mindhunter,2255
de brutas nada,550
mayans m.c.,728
the storyteller,202
gargoyles,393
red dwarf,354
boys over flowers,276
you,2954
the marvelous mrs. maisel,701
justice league,415
star trek,1184
good omens,1853
porque el amor manda,424
bmf,251
9-1-1: lone star,1019
young sheldon,2266
columbo,617
the terminal list,771
westworld,5199
superman & lois,2249
queen charlotte: a bridgerton story,351
godfather of harlem,500
transformers: prime,399
dexter: new blood,1003
la hija del mariachi,1443
40 y 20,1459
the expanse,2175
miracle doctor,943
a family of ten,786
elite,8966
orange,430
blood-c,208
jessie,624
quantum leap,652
mad,243
miraculous: tales of ladybug & cat noir,4296
silverhawks,276
wentworth,258
endeavour,213
the hidden dungeon only i can enter,456
the grim adventures of billy and mandy,909
why women kill,247
death parade,454
seal team,1410
reign,778
curb your enthusiasm,672
chappelle's show,343
gomorrah,444
motherland: fort salem,469
warrior nun,1140
casados con hijos,245
special ops: lioness,529
the addams family,354
the sandman,1860
how to sell drugs online (fast),732
atlanta,641
doom at your service,417
dahmer - monster: the jeffrey dahmer story,2388
the thundermans,539
angels of death,257
house of cards,2536
the clone,326
dopesick,331
the marvelous misadventures of flapjack,294
scrubs,1663
happiness,432
close enough,322
wolfblood,207
black books,462
ajin,288
jurassic world camp cretaceous,1783
sherlock holmes,201
fate/zero,289
my heart is yours,1082
pretty little liars,2494
hey arnold!,851
everybody hates chris,914
narcos,2646
parks and recreation,1357
the muppet show,268
the simpsons,9491
locked up,2368
oz,669
warrior,509
fatmagul,376
friday night lights,252
personal taste,483
peep show,337
thundercats,216
star wars: tales of the jedi,270
stargate atlantis,957
vecinos,352
monarch: legacy of monsters,631
luis miguel: the series,574
the jinx: the life and deaths of robert durst,410
the baby-sitters club,464
black lagoon,395
a woman scorned,204
castle,1735
the looney tunes show,444
el chapulã­n colorado,666
spartacus,2347
rebelde way,342
gen v,655
flcl,344
utopia,489
elite short stories: guzmã¡n caye rebe,300
kuruluåÿ osman,266
community,1568
what we do in the shadows,596
the killing,210
the queen of flow,1394
icarly,1387
high school musical: the musical: the series,763
dash & lily,282
triage x,243
how not to summon a demon lord,272
killing eve,1180
the good place,1434
derry girls,240
boardwalk empire,974
generation war,379
case closed,644
king the land,322
paranoia agent,250
unbelievable,548
law & order: organized crime,207
arrested development,1259
qi,224
big shot,316
virgin river,477
that '70s show,1313
banshee,1090
mayor of kingstown,325
the new batman adventures,325
the adventures of tintin,295
halt and catch fire,437
rosario + vampire,235
lost,3907
justified,646
tales from the crypt,828
law & order: special victims unit,3563
fate/stay night [unlimited blade works],285
little house on the prairie,853
animaniacs,667
we are who we are,332
scooby-doo and guess who?,211
the night of,966
rizzoli & isles,403
the munsters,402
ncis: hawai'i,246
maid,610
happy valley,284
mr. bean,1229
saint seiya: soul of gold,679
the fresh prince of bel-air,2137
megalobox,209
miss xv,204
el chavo del ocho,1804
hijack,423
broadchurch,770
death march to the parallel world rhapsody,224
spinning out,261
titans,2569
blackadder,423
soy luna,1026
upload,1086
yu-gi-oh! gx,266
barry,790
interspecies reviewers,522
shadow and bone,1289
junji ito collection,209
supernatural: the anime series,246
narcos: mexico,1228
his dark materials,1541
saint seiya omega,203
fbi,744
x-men: evolution,427
only fools and horses,249
coupling,262
for life,247
desperate housewives,1739
spaced,392
hellsing,474
m*a*s*h,605
archer,1147
doctor who,567
the knick,402
the melancholy of haruhi suzumiya,242
danger force,234
black,354
good girls,543
the grand tour,657
goosebumps,520
hwarang: the poet warrior youth,242
carnivã le,370
el seã±or de los cielos,2995
conversations with a killer: the jeffrey dahmer tapes,210
angel,856
jane the virgin,802
resident alien,630
baki the grappler,315
looking for alaska,546
the cuphead show!,284
the 100,7873
csi: vegas,249
hasta que el dinero nos separe,610
shopaholic louis,205
hawkeye,3080
wynonna earp,738
impractical jokers,335
lie to me,1367
get smart,364
blue exorcist,410
dungeons & dragons,225
good luck charlie,382
jesus,289
generation kill,381
gilmore girls,919
7seeds,208
fairy tail,901
the big bang theory,10761
sankarea: undying love,219
spawn,244
bewitched,652
monk,948
bosch,519
the envoys,270
big little lies,1364
gangs of london,513
pasiã³n prohibida,464
seraph of the end,344
first kill,286
move to heaven,286
kid vs. kat,284
clase 406,249
the capture,205
scream queens,1642
the mobile cop jiban,213
last week tonight with john oliver,626
sonny with a chance,317
boruto: naruto next generations,2339
baby,764
corazã³n salvaje,573
shrinking,215
mazinger z,360
locke & key,1175
taboo,1149
after life,747
american horror stories,811
my little girl,213
boston legal,287
hi! school - love on,404
the suite life on deck,463
slow horses,318
farscape,483
flight of the conchords,318
ragnarok,968
a discovery of witches,536
the snitch cartel: origins,301
blood & water,299
the transformers,341
star trek: deep space nine,722
the night agent,577
clarence,222
yu-gi-oh! capsule monsters,284
"roswell, new mexico",407
ecomoda,1040
the irregular at magic high school,246
the killing,696
the office,747
the closer,277
angel beats!,361
sweet tooth,1300
how to get away with murder,1510
luther,960
locked up: the oasis,1974
pushing daisies,358
modern family,2525
"what's new, scooby-doo?",595
the peripheral,948
the americans,824
count duckula,227
psych,710
"sabrina, the teenage witch",1021
mythbusters,511
"ed, edd n eddy",691
chucky,3908
dota: dragon's blood,392
pennyworth: the origin of batman's butler,314
moses and the ten commandments,960
acapulco shore,977
penny dreadful,1239
phineas and ferb,763
